1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	8.900000000000000133e-01	6.400000000000000133e-01	5.200000000000000178e-01	3.300000000000000155e-01	2.500000000000000000e-01	2.500000000000000000e-01	1.600000000000000033e-01
1.000000000000000000e+00	6.800000000000000488e-01	1.700000000000000122e-01	1.799999999999999933e-01	1.499999999999999944e-01	1.700000000000000122e-01	1.400000000000000133e-01	1.000000000000000056e-01	1.700000000000000122e-01	1.000000000000000056e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	9.799999999999999822e-01	9.500000000000000666e-01	8.599999999999999867e-01	7.500000000000000000e-01	6.600000000000000311e-01	3.900000000000000133e-01	4.199999999999999845e-01
1.000000000000000000e+00	9.899999999999999911e-01	1.000000000000000000e+00	9.599999999999999645e-01	8.100000000000000533e-01	6.199999999999999956e-01	4.000000000000000222e-01	4.100000000000000311e-01	1.799999999999999933e-01	2.500000000000000000e-01
5.300000000000000266e-01	2.800000000000000266e-01	2.600000000000000089e-01	2.500000000000000000e-01	1.100000000000000006e-01	1.199999999999999956e-01	1.499999999999999944e-01	1.000000000000000056e-01	1.199999999999999956e-01	1.100000000000000006e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.500000000000000000e-01	4.100000000000000311e-01	2.500000000000000000e-01	2.099999999999999922e-01	2.200000000000000011e-01	1.300000000000000044e-01	1.000000000000000056e-01	1.300000000000000044e-01
1.000000000000000000e+00	7.600000000000000089e-01	1.799999999999999933e-01	1.000000000000000056e-01	2.000000000000000042e-02	8.999999999999999667e-02	1.100000000000000006e-01	1.199999999999999956e-01	1.400000000000000133e-01	1.400000000000000133e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	9.300000000000000488e-01	8.599999999999999867e-01	7.099999999999999645e-01	4.899999999999999911e-01	4.299999999999999933e-01	3.200000000000000067e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	7.800000000000000266e-01	4.500000000000000111e-01	2.200000000000000011e-01	2.500000000000000000e-01	2.700000000000000178e-01	2.000000000000000111e-01	2.500000000000000000e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	9.899999999999999911e-01	9.799999999999999822e-01	9.200000000000000400e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	9.699999999999999734e-01	7.199999999999999734e-01	5.600000000000000533e-01	3.699999999999999956e-01	4.000000000000000222e-01	2.999999999999999889e-01	2.300000000000000100e-01
